Stock,Industry,IPO,MktCap,IPO Year,previous_year
1353,Consumer Cyclicals,2014-09-01,160.79,2014,2013
1439,Basic Materials,2014-01-13,0.81,2014,2013
1247,Consumer Cyclicals,2014-01-15,2.81,2014,2013
3332,Consumer Cyclicals,2014-01-15,2.66,2014,2013
2080,Real Estate,2014-01-23,2.84,2014,2013
2226,Consumer Non-Cyclicals,2014-01-28,8.27,2014,2013
2638,Utilities,2014-01-29,5.34,2014,2013
1622,Real Estate,2014-01-30,1.305,2014,2013
1636,Basic Materials,2014-02-21,0.98,2014,2013
1340,Consumer Non-Cyclicals,2014-02-28,2.0469999999999997,2014,2013
3636,Consumer Cyclicals,2014-06-03,28.3,2014,2013
2255,Consumer Cyclicals,2014-03-13,2.02,2014,2013
2608,Real Estate,2014-03-13,3.74,2014,2013
6138,Financials,2014-03-31,2.91,2014,2013
1400,Consumer Cyclicals,2014-04-25,7.391,2014,2013
1771,Consumer Cyclicals,2014-05-15,3.88,2014,2013
1397,Industrials,2014-05-22,1.24,2014,2013
6199,Financials,2019-12-30,2.3,2019,2018
6199,Financials,2019-12-30,2.3,2019,2018
2111,Consumer Cyclicals,2014-05-23,2.12,2014,2013
6198,Industrials,2014-06-06,3.71,2014,2013
2014,Industrials,2014-06-17,2.99,2014,2013
3903,Financials,2014-06-19,1.63,2014,2013
1330,Energy,2014-06-19,3.77,2014,2013
1375,Financials,2014-06-25,2.16,2014,2013
6128,Real Estate,2014-06-25,1.18,2014,2013
1588,Technology,2014-06-27,14.4,2014,2013
2298,Consumer Cyclicals,2014-06-26,3.55,2014,2013
1626,Basic Materials,2014-06-27,1.28,2014,2013
3709,Consumer Cyclicals,2014-06-27,4.4,2014,2013
3639,Real Estate,2014-06-27,2.44,2014,2013
1778,Real Estate,2014-06-30,4.6,2014,2013
6899,Technology,2014-06-30,3.75,2014,2013
1450,Technology,2014-07-07,1.07,2014,2013
2329,Real Estate,2014-07-07,2.5,2014,2013
6188,Consumer Cyclicals,2014-08-07,3.96,2014,2013
1599,Industrials,2014-08-07,3.65,2014,2013
1321,Real Estate,2014-10-07,2.05,2014,2013
1418,Consumer Cyclicals,2014-10-07,1.1,2014,2013
1848,Financials,2014-11-07,7.9,2014,2013
1856,Consumer Cyclicals,2014-11-07,4.46,2014,2013
1367,Consumer Cyclicals,2014-11-07,1.12,2014,2013
6123,Industrials,2014-11-07,2.36,2014,2013
1432,Consumer Non-Cyclicals,2014-07-15,2.38,2014,2013
2399,Consumer Cyclicals,2014-07-16,1.0,2014,2013
1253,Industrials,2014-07-21,0.3670000000000001,2014,2013
1365,Consumer Cyclicals,2014-12-08,3.51,2014,2013
6166,Real Estate,2014-08-25,3.26,2014,2013
2221,Industrials,2014-09-19,1.16,2014,2013
1285,Consumer Non-Cyclicals,2014-09-25,3.89,2014,2013
1395,Utilities,2014-09-26,0.94,2014,2013
1347,Technology,2014-10-15,10.74,2014,2013
1462,Industrials,2014-10-16,0.1,2014,2013
6893,Consumer Non-Cyclicals,2014-10-16,1.37,2014,2013
3822,Industrials,2014-10-16,0.405,2014,2013
1289,Industrials,2014-11-11,11.34,2014,2013
1443,Consumer Cyclicals,2014-11-13,1.31,2014,2013
1305,Technology,2014-11-18,3.24,2014,2013
1317,Academic & Educational Services,2014-11-28,1.445,2014,2013
1669,Financials,2014-12-12,1.69,2014,2013
1958,Consumer Cyclicals,2014-12-19,8.85,2014,2013
3699,Real Estate,2018-01-16,1.41,2018,2017
3699,Real Estate,2018-01-16,1.41,2018,2017
1381,Utilities,2014-12-29,2.34,2014,2013
2066,Financials,2014-12-29,7.58,2014,2013
2277,Financials,2014-12-29,0.63,2014,2013
2212,Basic Materials,2015-09-01,0.14,2015,2014
6866,Financials,2015-01-13,1.85,2015,2014
3708,Industrials,2015-01-14,0.134,2015,2014
1993,Consumer Cyclicals,2015-01-15,5.79,2015,2014
1362,Technology,2015-01-15,0.92,2015,2014
6161,Financials,2015-01-15,2.15,2015,2014
6822,Consumer Cyclicals,2015-01-16,0.9009999999999999,2015,2014
1327,Consumer Cyclicals,2015-01-30,6.216,2015,2014
1027,Consumer Cyclicals,2015-02-13,5.504,2015,2014
1858,Healthcare,2015-11-03,2.596,2015,2014
1430,Utilities,2015-11-03,2.0,2015,2014
1566,Consumer Cyclicals,2015-12-03,3.8,2015,2014
1310,Technology,2015-12-03,9.95,2015,2014
1415,Technology,2015-03-31,2.839,2015,2014
1245,Consumer Cyclicals,2015-08-04,1.01,2015,2014
1500,Industrials,2015-04-16,1.19,2015,2014
6826,Healthcare,2015-04-30,58.4,2015,2014
1301,Industrials,2015-05-27,2.62,2015,2014
6839,Utilities,2015-05-27,7.25,2015,2014
1530,Healthcare,2015-11-06,9.1,2015,2014
6183,Consumer Non-Cyclicals,2015-06-18,2.125,2015,2014
2686,Energy,2015-06-23,2.78,2015,2014
1528,Consumer Cyclicals,2015-06-26,11.582,2015,2014
6133,Technology,2015-06-26,2.128,2015,2014
3396,Technology,2015-06-29,42.95,2015,2014
1509,Healthcare,2015-07-07,6.81,2015,2014
1461,Financials,2015-07-07,2.5,2015,2014
6836,Consumer Non-Cyclicals,2015-07-07,1.28,2015,2014
2666,Financials,2015-08-07,6.45,2015,2014
1498,Healthcare,2015-08-07,4.099,2015,2014
3737,Consumer Non-Cyclicals,2015-07-13,2.39,2015,2014
6896,Healthcare,2015-07-15,4.87,2015,2014
1527,Industrials,2015-12-10,7.51,2015,2014
1476,Financials,2015-10-15,4.17,2015,2014
1533,Consumer Non-Cyclicals,2015-10-15,5.45,2015,2014
1532,Consumer Cyclicals,2015-10-16,0.93,2015,2014
1508,Financials,2015-10-26,2.7,2015,2014
2799,Financials,2015-10-30,3.1,2015,2014
1556,Industrials,2015-11-11,0.61,2015,2014
1452,Basic Materials,2015-12-11,1.45,2015,2014
3799,Consumer Non-Cyclicals,2015-11-20,5.0,2015,2014
1538,Real Estate,2015-11-25,1.87,2015,2014
6865,Energy,2015-11-26,1.94,2015,2014
2289,Consumer Non-Cyclicals,2015-12-14,8.0,2015,2014
3600,Healthcare,2015-12-15,4.04,2015,2014
1786,Industrials,2015-12-16,4.72,2015,2014
1662,Industrials,2015-12-18,1.11,2015,2014
1543,Financials,2015-12-23,1.38,2015,2014
6196,Financials,2015-12-23,3.655,2015,2014
1558,Healthcare,2015-12-29,7.27,2015,2014
1568,Consumer Cyclicals,2015-12-29,1.5,2015,2014
1548,Healthcare,2015-12-30,1.3119999999999998,2015,2014
1799,Basic Materials,2015-12-30,8.8,2015,2014
3678,Financials,2015-12-30,1.97,2015,2014
3326,Consumer Cyclicals,2016-04-01,0.733,2016,2015
3773,Technology,2016-07-01,0.86,2016,2015
1459,Industrials,2016-12-01,1.65,2016,2015
3301,Real Estate,2016-01-13,5.62,2016,2015
1565,Academic & Educational Services,2016-01-15,2.43,2016,2015
3963,Financials,2016-01-28,2.13,2016,2015
2768,Real Estate,2016-08-03,2.45,2016,2015
6833,Consumer Non-Cyclicals,2016-10-03,0.56,2016,2015
2138,Consumer Non-Cyclicals,2016-11-03,2.32,2016,2015
1557,Industrials,2016-03-18,1.4,2016,2015
2016,Financials,2016-03-30,3.96,2016,2015
2239,Technology,2016-03-30,3.18,2016,2015
1578,Financials,2016-03-30,7.39,2016,2015
1496,Industrials,2016-08-04,0.45,2016,2015
1469,Financials,2016-08-04,1.05,2016,2015
2738,Basic Materials,2016-04-15,2.88,2016,2015
3626,Basic Materials,2016-05-18,2.61,2016,2015
1585,Consumer Cyclicals,2016-05-19,1.32,2016,2015
1606,Financials,2016-11-07,1.94,2016,2015
1586,Energy,2016-12-07,1.57,2016,2015
2869,Real Estate,2016-11-07,2.73,2016,2015
1523,Technology,2016-07-13,0.49,2016,2015
1560,Real Estate,2016-07-13,0.857,2016,2015
1573,Energy,2016-07-13,4.14,2016,2015
1579,Consumer Non-Cyclicals,2016-07-13,3.25,2016,2015
1612,Healthcare,2016-07-13,0.94,2016,2015
1589,Industrials,2016-07-15,3.44,2016,2015
2278,Real Estate,2016-07-15,4.8,2016,2015
6816,Industrials,2016-07-20,1.13,2016,2015
2031,Consumer Cyclicals,2016-12-09,0.46,2016,2015
3893,Consumer Cyclicals,2016-12-09,0.14,2016,2015
2633,Healthcare,2016-09-21,1.68,2016,2015
1658,Financials,2016-09-28,4.77,2016,2015
1591,Industrials,2016-09-28,0.14400000000000002,2016,2015
1577,Financials,2016-09-30,1.82,2016,2015
1547,Industrials,2016-10-14,0.435,2016,2015
2113,Industrials,2016-10-17,0.8,2016,2015
1609,Industrials,2016-10-17,0.64,2016,2015
3320,Healthcare,2016-10-28,9.01,2016,2015
3306,Consumer Cyclicals,2016-10-31,6.87,2016,2015
6163,Industrials,2016-11-11,1.37,2016,2015
1633,Industrials,2016-11-11,1.27,2016,2015
1458,Consumer Non-Cyclicals,2016-11-11,6.67,2016,2015
1272,Industrials,2016-11-15,3.78,2016,2015
1611,Industrials,2016-11-21,1.57,2016,2015
1608,Industrials,2016-11-24,2.83,2016,2015
1629,Basic Materials,2016-11-25,0.76,2016,2015
6189,Industrials,2016-11-25,5.11,2016,2015
1632,Consumer Cyclicals,2016-11-29,0.877,2016,2015
6066,Financials,2018-06-20,5.88,2018,2017
1617,Technology,2016-12-12,1.74,2016,2015
1357,Technology,2016-12-15,8.5,2016,2015
1580,Basic Materials,2016-12-19,0.84,2016,2015
1596,Basic Materials,2016-12-21,3.02,2016,2015
1637,Industrials,2017-03-01,0.88,2017,2016
1536,Industrials,2017-11-01,1.16,2017,2016
1575,Consumer Cyclicals,2017-12-01,1.76,2017,2016
1518,Healthcare,2017-01-18,7.35,2017,2016
6068,Academic & Educational Services,2017-01-26,1.69,2017,2016
3789,Industrials,2017-08-02,0.305,2017,2016
2266,Industrials,2017-06-28,2.08,2017,2016
1660,Industrials,2017-10-02,0.065,2017,2016
1989,Healthcare,2017-02-15,0.92,2017,2016
1627,Industrials,2017-02-20,1.0,2017,2016
6169,Academic & Educational Services,2017-02-28,2.09,2017,2016
1985,Technology,2017-08-03,1.43,2017,2016
3395,Energy,2017-10-03,1.77,2017,2016
3869,Healthcare,2017-03-16,12.96,2017,2016
1569,Academic & Educational Services,2017-03-22,1.51,2017,2016
1647,Industrials,2017-03-30,0.97,2017,2016
2017,Industrials,2017-03-31,2.17,2017,2016
2281,Utilities,2017-03-31,2.27,2017,2016
1667,Consumer Cyclicals,2017-07-04,0.34,2017,2016
2001,Academic & Educational Services,2017-04-19,2.78,2017,2016
1655,Consumer Cyclicals,2017-05-15,1.28,2017,2016
3329,Financials,2017-05-19,2.72,2017,2016
1679,Industrials,2017-09-06,2.49,2017,2016
6038,Industrials,2017-06-13,0.455,2017,2016
2269,Healthcare,2017-06-13,28.25,2017,2016
1630,Consumer Cyclicals,2017-06-16,0.54,2017,2016
1551,Financials,2017-06-20,5.11,2017,2016
1571,Consumer Cyclicals,2017-06-28,3.23,2017,2016
1702,Basic Materials,2017-11-07,1.93,2017,2016
1695,Consumer Non-Cyclicals,2017-11-07,0.31,2017,2016
1962,Consumer Non-Cyclicals,2017-12-07,1.54,2017,2016
6113,Consumer Cyclicals,2017-12-07,1.51,2017,2016
6088,Technology,2017-07-13,3.15,2017,2016
1676,Consumer Non-Cyclicals,2017-07-18,13.2,2017,2016
1649,Industrials,2017-07-18,1.58,2017,2016
1216,Financials,2017-07-19,2.49,2017,2016
3848,Financials,2017-07-21,6.88,2017,2016
1693,Industrials,2017-09-08,0.74,2017,2016
2863,Industrials,2017-11-08,0.62,2017,2016
1696,Healthcare,2017-09-19,8.12,2017,2016
3830,Consumer Cyclicals,2017-09-21,0.396,2017,2016
1651,Industrials,2017-09-25,6.43,2017,2016
6060,Financials,2017-09-28,65.2,2017,2016
6885,Energy,2017-10-10,3.17,2017,2016
2337,Energy,2017-10-16,3.04,2017,2016
2225,Industrials,2017-10-17,0.55,2017,2016
6080,Industrials,2017-10-20,0.52,2017,2016
1337,Technology,2017-11-13,4.58,2017,2016
1706,Industrials,2017-11-15,0.84,2017,2016
1975,Industrials,2017-11-16,1.39,2017,2016
3358,Consumer Cyclicals,2017-11-16,3.32,2017,2016
2858,Financials,2017-11-16,8.12,2017,2016
1710,Industrials,2017-11-23,0.7,2017,2016
2022,Technology,2017-12-15,0.68,2017,2016
1727,Industrials,2017-12-15,4.46,2017,2016
1722,Industrials,2017-12-15,0.405,2017,2016
1789,Healthcare,2017-12-20,2.64,2017,2016
3878,Industrials,2017-12-22,1.26,2017,2016
2708,Technology,2017-12-28,2.16,2017,2016
2025,Consumer Cyclicals,2018-05-01,1.4,2018,2017
3309,Healthcare,2018-01-15,5.11,2018,2017
2448,Industrials,2018-01-16,0.99,2018,2017
2292,Real Estate,2018-01-16,1.31,2018,2017
6158,Real Estate,2018-01-16,4.0,2018,2017
6182,Basic Materials,2018-01-17,0.67,2018,2017
2139,Financials,2018-01-18,2.88,2018,2017
1665,Technology,2018-01-19,0.98,2018,2017
2683,Consumer Cyclicals,2018-01-22,1.21,2018,2017
1711,Consumer Cyclicals,2018-01-29,1.6,2018,2017
6829,Industrials,2018-08-02,0.395,2018,2017
1183,Industrials,2018-02-13,1.37,2018,2017
1729,Industrials,2018-02-13,0.425,2018,2017
1621,Energy,2018-05-03,0.25,2018,2017
2182,Consumer Non-Cyclicals,2018-08-03,0.455,2018,2017
1815,Consumer Cyclicals,2018-03-13,2.39,2018,2017
1737,Industrials,2018-03-14,0.53,2018,2017
1705,Consumer Non-Cyclicals,2018-03-14,3.98,2018,2017
6036,Technology,2018-03-16,0.9,2018,2017
2377,Industrials,2018-03-16,2.38,2018,2017
2363,Technology,2018-03-16,2.4,2018,2017
2779,Academic & Educational Services,2018-03-26,3.26,2018,2017
2116,Basic Materials,2018-03-28,1.22,2018,2017
1716,Consumer Cyclicals,2018-03-28,6.38,2018,2017
1735,Industrials,2018-03-29,0.377,2018,2017
1726,Industrials,2018-04-18,0.56,2018,2017
1671,Utilities,2018-04-27,0.196,2018,2017
1742,Industrials,2018-11-05,0.21,2018,2017
1750,Industrials,2018-11-05,0.295,2018,2017
1752,Academic & Educational Services,2018-11-05,0.33,2018,2017
2119,Consumer Non-Cyclicals,2018-11-05,1.07,2018,2017
1598,Academic & Educational Services,2018-05-29,1.71,2018,2017
1978,Consumer Cyclicals,2018-05-30,1.54,2018,2017
1757,Industrials,2018-07-06,0.41,2018,2017
1806,Industrials,2018-06-15,6.62,2018,2017
2003,Financials,2018-06-21,20.45,2018,2017
1916,Financials,2018-06-26,6.41,2018,2017
1749,Consumer Cyclicals,2018-06-27,3.49,2018,2017
1587,Consumer Non-Cyclicals,2018-06-27,0.58,2018,2017
1620,Consumer Cyclicals,2018-06-28,0.355,2018,2017
6100,Industrials,2018-06-29,32.5,2018,2017
1810,Technology,2018-09-07,16.5,2018,2017
1652,Healthcare,2018-11-07,2.44,2018,2017
1746,Industrials,2018-11-07,0.221,2018,2017
6860,Technology,2018-12-07,1.72,2018,2017
3700,Technology,2018-12-07,2.15,2018,2017
1760,Consumer Cyclicals,2018-12-07,2.88,2018,2017
1996,Real Estate,2018-12-07,2.7,2018,2017
1773,Academic & Educational Services,2018-12-07,1.35,2018,2017
2051,Technology,2018-07-13,9.1,2018,2017
1775,Academic & Educational Services,2018-07-13,1.32,2018,2017
1731,Consumer Cyclicals,2018-07-13,1.12,2018,2017
1721,Basic Materials,2018-07-16,0.61,2018,2017
1968,Consumer Cyclicals,2018-07-16,2.87,2018,2017
1715,Consumer Cyclicals,2018-07-16,0.315,2018,2017
3302,Industrials,2018-07-18,1.23,2018,2017
1576,Industrials,2018-07-19,2.3,2018,2017
2048,Real Estate,2018-07-20,14.18,2018,2017
1758,Academic & Educational Services,2018-07-31,2.87,2018,2017
1725,Technology,2018-08-16,1.45,2018,2017
1783,Industrials,2018-08-22,0.49,2018,2017
1615,Industrials,2018-10-09,0.315,2018,2017
1969,Academic & Educational Services,2018-09-13,1.74,2018,2017
2552,Healthcare,2018-09-14,8.28,2018,2017
2680,Industrials,2018-09-14,0.98,2018,2017
3690,Technology,2018-09-20,72.65,2018,2017
6862,Consumer Cyclicals,2018-09-26,17.82,2018,2017
1748,Industrials,2018-09-26,1.51,2018,2017
1911,Financials,2018-09-27,24.7,2018,2017
1723,Technology,2018-09-27,2.12,2018,2017
1894,Industrials,2018-12-10,1.4,2018,2017
1741,Industrials,2018-10-16,0.63,2018,2017
1653,Consumer Cyclicals,2018-10-19,3.5,2018,2017
1825,Consumer Cyclicals,2018-10-19,0.385,2018,2017
1034,Industrials,2018-10-30,0.46,2018,2017
1801,Healthcare,2018-10-31,16.58,2018,2017
3616,Real Estate,2018-12-11,0.84,2018,2017
1835,Financials,2018-11-13,5.21,2018,2017
6890,Basic Materials,2018-11-19,1.07,2018,2017
2258,Industrials,2018-11-19,1.33,2018,2017
1761,Consumer Cyclicals,2018-11-27,6.87,2018,2017
1860,Consumer Cyclicals,2018-12-12,3.99,2018,2017
1837,Consumer Non-Cyclicals,2018-12-12,1.42,2018,2017
2798,Energy,2018-12-12,0.68,2018,2017
1992,Consumer Cyclicals,2018-12-14,14.98,2018,2017
1995,Real Estate,2018-12-17,1.78,2018,2017
1983,Financials,2018-12-17,3.25,2018,2017
1675,Technology,2018-12-19,10.02,2018,2017
2892,Real Estate,2018-12-20,1.26,2018,2017
1820,Basic Materials,2018-12-21,3.98,2018,2017
1762,Consumer Cyclicals,2018-12-21,3.0,2018,2017
3978,Academic & Educational Services,2018-12-27,2.4,2018,2017
1713,Utilities,2018-12-28,1.77,2018,2017
1759,Utilities,2018-12-28,2.84,2018,2017
1796,Consumer Cyclicals,2018-12-31,0.98,2018,2017
1845,Industrials,2019-03-01,0.9,2019,2018
1743,Industrials,2019-04-01,15.1,2019,2018
2360,Consumer Non-Cyclicals,2019-11-01,1.9,2019,2018
2885,Technology,2019-11-01,0.385,2019,2018
1767,Consumer Non-Cyclicals,2019-01-14,0.63,2019,2018
1785,Industrials,2019-01-15,2.18,2019,2018
6162,Consumer Cyclicals,2019-01-15,0.248,2019,2018
2013,Technology,2019-01-15,2.93,2019,2018
1851,Academic & Educational Services,2019-01-18,1.35,2019,2018
1890,Academic & Educational Services,2019-01-25,2.51,2019,2018
1896,Technology,2019-04-02,16.8,2019,2018
1703,Consumer Cyclicals,2019-02-15,0.61,2019,2018
2616,Healthcare,2019-02-26,12.86,2019,2018
2019,Real Estate,2019-02-26,2.8,2019,2018
1793,Industrials,2019-02-27,0.65,2019,2018
1872,Consumer Cyclicals,2019-02-28,0.63,2019,2018
1025,Consumer Cyclicals,2019-02-28,1.06,2019,2018
2108,Consumer Cyclicals,2019-06-03,0.255,2019,2018
1902,Real Estate,2019-06-03,2.36,2019,2018
1917,Consumer Cyclicals,2019-03-14,0.63,2019,2018
3316,Real Estate,2019-03-15,7.32,2019,2018
1907,Basic Materials,2019-03-15,2.8,2019,2018
1891,Industrials,2019-03-15,0.37,2019,2018
1563,Financials,2019-03-15,0.83,2019,2018
3662,Real Estate,2019-03-18,4.45,2019,2018
2682,Industrials,2019-03-18,0.28,2019,2018
6819,Technology,2019-03-27,5.21,2019,2018
1865,Industrials,2019-03-27,0.66,2019,2018
6185,Healthcare,2019-03-28,34.7,2019,2018
1797,Academic & Educational Services,2019-03-28,10.2,2019,2018
2660,Technology,2019-04-16,1.61,2019,2018
3321,Industrials,2019-04-23,1.39,2019,2018
1545,Consumer Cyclicals,2019-04-25,0.27,2019,2018
1906,Consumer Cyclicals,2019-04-26,0.58,2019,2018
1780,Industrials,2019-04-30,0.89,2019,2018
1753,Consumer Cyclicals,2019-07-05,5.04,2019,2018
1873,Healthcare,2019-09-05,4.08,2019,2018
1832,Consumer Cyclicals,2019-05-16,3.46,2019,2018
2346,Basic Materials,2019-05-16,1.11,2019,2018
2230,Consumer Cyclicals,2019-05-21,0.31,2019,2018
1817,Consumer Cyclicals,2019-05-27,4.5,2019,2018
2060,Basic Materials,2019-05-28,2.71,2019,2018
3868,Utilities,2019-05-28,1.94,2019,2018
1521,Healthcare,2019-05-30,3.35,2019,2018
2181,Healthcare,2019-05-31,1.21,2019,2018
6055,Consumer Non-Cyclicals,2019-12-06,18.02,2019,2018
2189,Healthcare,2019-06-13,0.56,2019,2018
6811,Consumer Cyclicals,2019-06-13,2.64,2019,2018
3692,Healthcare,2019-06-14,19.5,2019,2018
3877,Financials,2019-06-17,1.24,2019,2018
1935,Academic & Educational Services,2019-06-18,1.65,2019,2018
6117,Industrials,2019-06-19,4.0,2019,2018
1769,Academic & Educational Services,2019-06-21,3.69,2019,2018
1951,Healthcare,2019-06-25,9.28,2019,2018
1849,Technology,2019-06-26,0.49,2019,2018
1901,Consumer Cyclicals,2019-06-28,0.98,2019,2018
1842,Consumer Cyclicals,2019-06-28,0.57,2019,2018
1286,Industrials,2019-06-28,3.01,2019,2018
1930,Consumer Cyclicals,2019-06-28,1.18,2019,2018
1943,Industrials,2019-06-28,0.465,2019,2018
1701,Consumer Cyclicals,2019-06-28,0.305,2019,2018
2180,Industrials,2019-10-07,10.88,2019,2018
1839,Industrials,2019-11-07,5.45,2019,2018
1912,Technology,2019-07-16,0.69,2019,2018
1134,Healthcare,2019-07-16,1.06,2019,2018
6805,Industrials,2019-07-16,1.3,2019,2018
1949,Technology,2019-07-16,1.55,2019,2018
2772,Real Estate,2019-07-16,5.95,2019,2018
2558,Financials,2019-07-18,3.82,2019,2018
1920,Industrials,2019-08-16,0.168,2019,2018
3928,Industrials,2019-09-19,1.22,2019,2018
2696,Healthcare,2019-09-25,49.45,2019,2018
1876,Consumer Non-Cyclicals,2019-09-30,28.2,2019,2018
3938,Financials,2019-09-30,1.07,2019,2018
1960,Energy,2019-09-30,0.8,2019,2018
3601,Technology,2019-10-10,8.6,2019,2018
6110,Consumer Cyclicals,2019-10-10,9.25,2019,2018
1846,Consumer Cyclicals,2019-10-15,11.0,2019,2018
1582,Industrials,2019-10-16,1.15,2019,2018
1955,Industrials,2019-10-16,1.23,2019,2018
1084,Consumer Non-Cyclicals,2019-10-17,1.35,2019,2018
1283,Industrials,2019-10-18,0.74,2019,2018
1959,Consumer Cyclicals,2019-10-18,0.77,2019,2018
1967,Technology,2019-10-18,3.4,2019,2018
2606,Real Estate,2019-10-18,42.55,2019,2018
1843,Consumer Cyclicals,2019-10-23,0.61,2019,2018
1871,Academic & Educational Services,2019-10-24,0.87,2019,2018
1853,Utilities,2019-10-24,2.2,2019,2018
1692,Consumer Cyclicals,2019-10-25,0.86,2019,2018
6855,Healthcare,2019-10-28,37.6,2019,2018
1847,Basic Materials,2019-10-31,2.66,2019,2018
1427,Real Estate,2019-11-11,2.57,2019,2018
1640,Consumer Cyclicals,2019-12-11,2.6,2019,2018
3681,Healthcare,2019-12-11,4.02,2019,2018
6186,Consumer Non-Cyclicals,2019-11-13,7.44,2019,2018
1346,Consumer Cyclicals,2019-11-13,0.62,2019,2018
1401,Industrials,2019-11-13,0.62,2019,2018
1747,Technology,2019-11-14,0.92,2019,2018
3348,Industrials,2019-11-15,1.19,2019,2018
2103,Real Estate,2019-11-15,3.95,2019,2018
2296,Industrials,2019-11-21,0.26,2019,2018
1756,Academic & Educational Services,2019-11-25,2.7,2019,2018
1425,Consumer Cyclicals,2019-11-28,0.415,2019,2018
9966,Healthcare,2019-12-12,13.5,2019,2018
2400,Technology,2019-12-12,11.86,2019,2018
1593,Academic & Educational Services,2019-12-13,2.06,2019,2018
6919,Industrials,2019-12-13,26.55,2019,2018
3680,Technology,2019-12-13,1.62,2019,2018
1691,Consumer Cyclicals,2019-12-18,5.49,2019,2018
1553,Basic Materials,2019-12-18,2.15,2019,2018
6193,Basic Materials,2019-12-18,1.48,2019,2018
6049,Real Estate,2019-12-19,45.35,2019,2018
9928,Real Estate,2019-12-19,4.88,2019,2018
9909,Consumer Cyclicals,2019-12-30,10.06,2019,2018
9911,Consumer Cyclicals,2019-12-31,3.25,2019,2018
1542,Utilities,2019-12-31,4.22,2019,2018
